order_id,channel,customer_segment,customer_age,status,revenue,converted
ORD00001,email,returning,20,completed,0.00,0
ORD00002,email,loyal,49,completed,185.30,1
ORD00003,paid_search,returning,53,completed,0.00,0
ORD00004,paid_search,new,34,completed,0.00,0
ORD00005,paid_search,new,27,completed,0.00,0
ORD00006,email,loyal,25,completed,105.20,1
ORD00007,email,new,24,completed,0.00,0
ORD00008,paid_search,loyal,63,completed,176.87,1
ORD00009,email,returning,48,completed,0.00,0
ORD00010,email,returning,66,refunded,0.00,0
ORD00011,paid_search,new,43,completed,0.00,0
ORD00012,paid_search,new,50,completed,0.00,0
ORD00013,paid_search,new,71,completed,0.00,0
ORD00014,paid_search,new,39,completed,0.00,0
ORD00015,email,returning,46,completed,0.00,0
ORD00016,email,returning,55,completed,0.00,0
ORD00017,paid_search,loyal,54,completed,166.20,1
ORD00018,paid_search,returning,73,completed,0.00,0
ORD00019,email,returning,64,completed,0.00,0
ORD00020,paid_search,loyal,50,refunded,110.78,1
ORD00021,paid_search,new,49,completed,0.00,0
ORD00022,paid_search,new,-1,completed,99.68,1
ORD00023,paid_search,returning,61,completed,0.00,0
ORD00024,email,new,68,completed,0.00,0
ORD00025,paid_search,new,74,refunded,0.00,0
ORD00026,email,returning,61,refunded,0.00,0
ORD00027,paid_search,returning,27,completed,0.00,0
ORD00028,email,loyal,-1,completed,0.00,0
ORD00029,paid_search,returning,21,completed,92.54,1
ORD00030,paid_search,returning,28,refunded,0.00,0
ORD00031,email,returning,29,completed,59.38,1
ORD00032,paid_search,new,57,completed,58.70,1
ORD00033,paid_search,new,39,completed,0.00,0
ORD00034,paid_search,new,65,completed,0.00,0
ORD00035,email,returning,53,completed,0.00,0
ORD00036,email,new,-1,completed,64.43,1
ORD00037,paid_search,new,19,refunded,0.00,0
ORD00038,paid_search,new,26,completed,0.00,0
ORD00039,email,loyal,64,refunded,123.93,1
ORD00040,paid_search,new,24,completed,0.00,0
ORD00041,paid_search,new,34,completed,0.00,0
ORD00042,email,loyal,54,completed,0.00,0
ORD00043,paid_search,returning,42,completed,63.51,1
ORD00044,paid_search,loyal,65,completed,134.78,1
ORD00045,email,returning,24,completed,0.00,0
ORD00046,email,returning,22,completed,0.00,0
ORD00047,paid_search,new,68,completed,0.00,0
ORD00048,paid_search,returning,52,completed,0.00,0
ORD00049,paid_search,returning,26,completed,0.00,0
ORD00050,email,loyal,33,completed,0.00,0
ORD00051,paid_search,new,28,completed,0.00,0
ORD00052,email,returning,74,completed,0.00,0
ORD00053,paid_search,new,35,completed,0.00,0
ORD00054,email,new,38,completed,0.00,0
ORD00055,paid_search,new,-1,completed,0.00,0
ORD00056,paid_search,new,22,completed,0.00,0
ORD00057,email,loyal,66,refunded,134.62,1
ORD00058,paid_search,new,-1,completed,15.92,1
ORD00059,email,loyal,23,completed,0.00,0
ORD00060,email,returning,-1,refunded,0.00,0
ORD00061,email,returning,69,completed,60.52,1
ORD00062,paid_search,returning,41,completed,0.00,0
ORD00063,email,returning,60,completed,0.00,0
ORD00064,paid_search,new,25,completed,32.73,1
ORD00065,email,new,62,completed,0.00,0
ORD00066,paid_search,new,36,completed,0.00,0
ORD00067,paid_search,new,32,completed,0.00,0
ORD00068,paid_search,new,25,completed,0.00,0
ORD00069,email,loyal,62,completed,118.82,1
ORD00070,paid_search,new,32,completed,56.58,1
ORD00071,email,returning,51,completed,0.00,0
ORD00072,paid_search,new,50,completed,0.00,0
ORD00073,paid_search,loyal,39,refunded,0.00,0
ORD00074,paid_search,returning,35,completed,129.75,1
ORD00075,paid_search,new,18,completed,0.00,0
ORD00076,paid_search,loyal,-1,completed,0.00,0
ORD00077,email,loyal,46,completed,110.01,1
ORD00078,email,loyal,69,completed,106.47,1
ORD00079,email,returning,29,completed,0.00,0
ORD00080,paid_search,new,-1,completed,61.94,1
ORD00081,paid_search,new,20,completed,0.00,0
ORD00082,email,loyal,19,completed,169.60,1
ORD00083,paid_search,returning,44,refunded,60.06,1
ORD00084,email,new,72,completed,0.00,0
ORD00085,email,loyal,-1,completed,149.49,1
ORD00086,paid_search,returning,-1,completed,0.00,0
ORD00087,email,returning,68,completed,35.05,1
ORD00088,paid_search,new,37,completed,0.00,0
ORD00089,email,new,39,completed,0.00,0
ORD00090,paid_search,new,48,refunded,0.00,0
ORD00091,paid_search,new,68,completed,0.00,0
ORD00092,email,loyal,53,completed,97.65,1
ORD00093,paid_search,returning,38,completed,0.00,0
ORD00094,paid_search,returning,37,refunded,0.00,0
ORD00095,paid_search,new,-1,completed,0.00,0
ORD00096,paid_search,returning,43,completed,0.00,0
ORD00097,paid_search,new,73,completed,0.00,0
ORD00098,paid_search,new,53,completed,84.10,1
ORD00099,paid_search,new,40,completed,0.00,0
ORD00100,paid_search,new,44,completed,0.00,0
ORD00101,paid_search,loyal,28,completed,173.77,1
ORD00102,paid_search,returning,34,completed,0.00,0
ORD00103,paid_search,new,51,completed,0.00,0
ORD00104,paid_search,returning,41,completed,0.00,0
ORD00105,email,loyal,19,completed,0.00,0
ORD00106,paid_search,new,39,completed,15.74,1
ORD00107,email,returning,48,completed,0.00,0
ORD00108,email,returning,34,completed,0.00,0
ORD00109,email,new,46,completed,0.00,0
ORD00110,paid_search,returning,52,completed,0.00,0
ORD00111,paid_search,returning,34,completed,0.00,0
ORD00112,email,loyal,47,refunded,145.51,1
ORD00113,email,new,-1,completed,0.00,0
ORD00114,email,loyal,41,completed,86.13,1
ORD00115,email,new,47,completed,0.00,0
ORD00116,email,returning,58,completed,0.00,0
ORD00117,email,loyal,22,completed,0.00,0
ORD00118,paid_search,new,-1,completed,0.00,0
ORD00119,paid_search,new,61,completed,13.91,1
ORD00120,email,loyal,54,completed,0.00,0
ORD00121,paid_search,new,28,completed,0.00,0
ORD00122,email,returning,37,completed,0.00,0
ORD00123,email,returning,60,completed,63.60,1
ORD00124,paid_search,returning,71,refunded,0.00,0
ORD00125,paid_search,returning,73,refunded,0.00,0
ORD00126,paid_search,new,23,completed,19.50,1
ORD00127,paid_search,new,56,completed,0.00,0
ORD00128,paid_search,new,63,completed,0.00,0
ORD00129,paid_search,new,60,completed,0.00,0
ORD00130,paid_search,new,42,completed,0.00,0
ORD00131,email,loyal,58,completed,0.00,0
ORD00132,paid_search,returning,40,completed,117.45,1
ORD00133,paid_search,new,25,completed,0.00,0
ORD00134,email,new,-1,completed,0.00,0
ORD00135,email,loyal,26,refunded,0.00,0
ORD00136,paid_search,new,55,completed,0.00,0
ORD00137,email,loyal,39,completed,0.00,0
ORD00138,email,returning,-1,completed,95.04,1
ORD00139,paid_search,returning,38,completed,0.00,0
ORD00140,email,loyal,68,completed,0.00,0
ORD00141,email,returning,34,completed,0.00,0
ORD00142,email,returning,24,completed,0.00,0
ORD00143,email,new,40,completed,0.00,0
ORD00144,email,loyal,46,completed,159.83,1
ORD00145,paid_search,new,74,completed,0.00,0
ORD00146,email,loyal,61,completed,167.35,1
ORD00147,email,new,41,completed,0.00,0
ORD00148,paid_search,new,22,completed,0.00,0
ORD00149,paid_search,returning,39,refunded,92.05,1
ORD00150,email,loyal,-1,completed,184.06,1
ORD00151,email,new,44,refunded,0.00,0
ORD00152,email,loyal,74,refunded,145.46,1
ORD00153,paid_search,returning,34,completed,0.00,0
ORD00154,email,returning,31,completed,0.00,0
ORD00155,paid_search,returning,34,completed,62.13,1
ORD00156,email,loyal,24,completed,168.18,1
ORD00157,paid_search,new,25,completed,0.00,0
ORD00158,email,new,34,completed,0.00,0
ORD00159,paid_search,new,30,refunded,0.00,0
ORD00160,paid_search,new,37,completed,0.00,0
ORD00161,paid_search,new,60,completed,0.00,0
ORD00162,email,loyal,34,completed,120.26,1
ORD00163,paid_search,loyal,63,completed,138.55,1
ORD00164,paid_search,new,42,refunded,0.00,0
